商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束,新品入榜
2023 旗艦機登場👑美國 ELPHECO 絕美太空艙✨除臭感應垃圾桶，全面啟動無菌生活！,ELPHECO,5816288,3990,https://www.zeczec.com/projects/elpheco,"全天候自動殺菌除臭，丟垃圾、整理垃圾🤢不用再憋氣！殺菌率 99.9%🔥垃圾久放不易有異味，感應開蓋不沾手，垃圾廚餘輕鬆丟~,zeczec",37 天,2022/12/20 12:00 – 2023/02/01 02:00,2022-12-20 12:00:00,2023-02-01 02:00:00,✅
【 大同寶寶智慧音箱 】｜全球首創人偶造型 AI 智慧音箱，全向高音質喇叭 ＋ Google 語音助理，最親切的智慧管家到你家！,大同綜合訊電股份有限公司,3131100,3580,https://www.zeczec.com/projects/t-boy,"最熟悉的老朋友——大同寶寶數位變身超聰明管家，只要動動口就能播放高音質串流音樂，還能遙控家中智慧家電，回答各種生活小知識，全家人的需求攏 A 通！,zeczec",18 天,2022/12/20 20:00 – 2023/01/13 12:00,2022-12-20 20:00:00,2023-01-13 12:00:00,✅
一鍵全自動充氣－Jodo！啵啵椅，隨身專屬沙發，讓世界美景都變成你家客廳,Jodo！,1473520,3980,https://www.zeczec.com/projects/jodo-pop-chair,"21 世紀可以把沙發帶出家門了！突破市面充氣用具的設計思維，一鍵按下立刻自動充氣，你的「個人專屬沙發」就此誕生～圓弧椅身打造雲朵包覆坐感，不管是草地、海邊、露營都像在家一樣舒適。,zeczec",27 天,2022/12/21 12:00 – 2023/01/21 23:59,2022-12-21 12:00:00,2023-01-21 23:59:00,✅
德國百靈 PowerBlend 9 多動向智能調理機｜頂級轉速 x 口感自訂 x 自動清潔,Braun Household,722200,13800,https://www.zeczec.com/projects/powerblend9,"百年德國品牌百靈以創新科技，打造 42000 轉高速馬達，搭配獨家多動向技術與 18 種料理模式，各式醬料、健身減脂飲品，還是肉漿料理，都能輕鬆上桌！,zeczec",23 天,2022/12/22 12:00 – 2023/01/18 12:00,2022-12-22 12:00:00,2023-01-18 12:00:00,✅
KUHN RIKON 經典白防水購物拖輪車｜購物採買、出國血拼、露營野餐，一袋輕鬆搞定！,瑞康國際,624582,4665,https://www.zeczec.com/projects/KR-waterproofshopper,"瑞康屋全新力作！與瑞士百年品牌共同設計，超乎想像的大容量，裝滿50kg一樣滑順好推！潔白車身擁有超強防潑水，髒污下雨都不怕！不使用時還可摺疊收納，就要讓你「便利 優雅 品味生活袋著走！」,zeczec",35 天,2022/12/21 12:00 – 2023/01/30 12:00,2022-12-21 12:00:00,2023-01-30 12:00:00,✅
[100% 原創] P-Flash 智慧並聯式，金屬閃光彈行動電源,LMC & Co.銅雀股份有限公司,593710,2280,https://www.zeczec.com/projects/p-flash,"1:1 閃光彈造型，拉掉安全插銷後保險桿立即彈開並點亮手電筒。 無限擴充式行動電源。讓您不論身處何種戰場，都能有源源不絕的電力與中二力！,zeczec",23 天,2022/12/22 21:00 – 2023/01/17 23:59,2022-12-22 21:00:00,2023-01-17 23:59:00,✅
BRITA 全球首發【 Model ONE｜智能瞬熱 UVC 滅菌開飲機 】安心生飲，「淨」乎苛求！德國淨水專家，專為台灣「健康」飲水而生！,BRITA,26865267,13888,https://www.zeczec.com/projects/brita-model-one,"56 年德國淨水專家匠心巨獻，超越 RO 純水唯一首選，用健康溫芯好水打造生活儀式感！,zeczec",18 天,2022/12/01 20:50 – 2023/01/13 02:00,2022-12-01 20:50:00,2023-01-13 02:00:00,
《 PopuPiano 七彩智慧鋼琴 》從基礎初學到專業創作，帶你實現「彈鋼琴、自彈自唱」的夢想！,PopuMusic 台灣,6301769,8990,https://www.zeczec.com/projects/popupiano,"琴鍵七彩 LED 燈｜APP 遊戲化教學｜一鍵產生和弦 + 節奏打擊｜音色/調式 變換、疊加錄製｜支援 GarageBand 等 MIDI 軟體 ➢ 不論初心者或玩家都能快速上手！,zeczec",19 天,2022/12/13 12:00 – 2023/01/13 23:59,2022-12-13 12:00:00,2023-01-13 23:59:00,
北魏真書體｜源於城市，取自傳承，一款新時代的字體,北魏真書體,5245968,3300,https://www.zeczec.com/projects/zansyu,"北魏真書體，透過字體研究和電腦技術重新設計的全新楷書字體，以字體設計傳承、演繹文化，向世界傳遞新的語言使用形式。,zeczec",22 天,2022/12/14 21:00 – 2023/01/17 02:00,2022-12-14 21:00:00,2023-01-17 02:00:00,
【狂銷破千組】霍曼Homerunpet 智能寵物餵食器｜不在家也能準時放飯，毛孩專屬健康飲食守護者,霍曼Homerunpet,4999952,2390,https://www.zeczec.com/projects/homerunpet-feeder,"餵養儲糧，一機搞定！毛孩餵食旗艦機種，不在家也能準時放飯，上班、外出也不用擔心毛孩在家會餓肚子。霍曼最強餵食器，放飯就是輕鬆又寫意～,zeczec",24 天,2022/12/13 12:00 – 2023/01/19 02:00,2022-12-13 12:00:00,2023-01-19 02:00:00,
【 ESCURA l 33℃ 抱抱被 】一件讓你從冬天蓋到夏天的恆溫被，翻面即換季，整件可機洗！,ESCURA INC.,4499741,4290,https://www.zeczec.com/projects/escuratw,"我們解決市面上冬被不夠保暖，夏被又太熱的情形。專利五層結構找回你失去的３３℃恆溫被窩。一款隨著體溫變化，懂得適時吸熱、放熱的恆溫被，雙面±℃冷暖黑科技，翻面即換季，還能輕鬆機洗，這輩子一被子就夠！,zeczec",16 天,2022/12/01 20:00 – 2023/01/11 02:00,2022-12-01 20:00:00,2023-01-11 02:00:00,
【Charder 你的專業教練｜U310 人體分析儀】APP數據紀錄 × 8點接觸式電極，可量測左右側手部及腿部個別數值，CP值超高，免萬元享有10萬元等級功能！,Charder 啟德電子,4383730,9890,https://www.zeczec.com/projects/charder-u310,"可測量體水分、骨量、體年齡、基礎代謝、體脂率、內臟脂肪、肌肉量、肌肉質量等。最佳CP值、媲美10萬元專家級，免萬元超好入手！健康體態，一機到位！,zeczec",17 天,2022/12/08 12:00 – 2023/01/12 02:00,2022-12-08 12:00:00,2023-01-12 02:00:00,
【好日照 Light Flo 光韻牙刷殺菌燈】雙重殺菌科技全天自動循環，解決99.9%牙刷細菌滋生！,Vogito 好日照,3485215,2520,https://www.zeczec.com/projects/light-flo,"你知道牙刷上的細菌量可高達 3 萬嗎？台灣設計團隊結合深厚光電整合技術打造，「DUV 深紫外線」 和「45°C 熱風渦流」自動循環，讓全家的牙刷、刮鬍刀都能隨時乾淨又清爽！,zeczec",47 天,2022/12/08 20:00 – 2023/02/10 23:59,2022-12-08 20:00:00,2023-02-10 23:59:00,
小富翁大贏家｜培養財務眼光的理財桌遊、親子引導影音課程,知識衛星 SAT. KNOWLEDGE,3163680,3150,https://www.zeczec.com/projects/financial-board-game-mj,"職業財報講師林明樟老師以投資理財作為出發點，讓大家能提早培養財務眼光，並在遊戲中體驗真實世界變化的桌遊,zeczec",28 天,2022/12/16 12:00 – 2023/01/22 23:59,2022-12-16 12:00:00,2023-01-22 23:59:00,
 MOFT 磁吸行動電源｜1 秒吸上、立即充電，行動電源 × 支架 × 卡夾 完美 3 in 1,MOFT,2703226,1699,https://www.zeczec.com/projects/moft-battery-pack,"首創可拆式支架電源組合！磁吸式無線充電，電源僅 120g、1.2 cm 極輕薄，直立橫放三角度輕鬆切換，內建卡夾可收納二張卡片，滿足你出國旅遊、日常攜帶的救急所需！,zeczec",36 天,2022/12/15 12:00 – 2023/01/31 02:00,2022-12-15 12:00:00,2023-01-31 02:00:00,
【VariShot V-16電子靶】風靡全球的雷射槍射擊訓練機｜美國真槍規格X多元挑戰模式｜全民射擊運動新潮流，隨時隨地打造專屬靶場！,信咚企業股份有限公司 Sean and Stephen Corporation,2433626,7600,https://www.zeczec.com/projects/varishot,"美國募資破百萬、空氣槍國手推薦的雷射槍訓練機登場！真槍規格X多元模式，有效提升射擊準度、手眼協調與專注力！不論在家或戶外，親子同樂或跑趴露營，隨時隨地打造專屬靶場，讓您實現射手夢！,zeczec",3 天,2022/11/28 12:00 – 2022/12/28 23:59,2022-11-28 12:00:00,2022-12-28 23:59:00,
AIRone 智慧型光觸媒空氣淨化器｜0 耗材，革命性『光分解引擎』淨化永不減弱，異味甲醛病菌都消滅！,圓方生活YFLife ,2315020,3490,https://www.zeczec.com/projects/airone,"世界最小智慧型空氣淨化器。24小時空氣品質、CO2、溫度、濕度即時偵測與淨化力自動調節、黴菌病毒傳播預警功能，是您最貼心的空氣保鑣。獨家H2O再生技術及可拆洗光觸媒引擎，淨化能力永不減弱 ！,zeczec",37 天,2022/12/15 12:00 – 2023/01/31 23:59,2022-12-15 12:00:00,2023-01-31 23:59:00,
OLTAS 日本製100%喀什米爾圍脖【嘖嘖400萬超人氣好評贊助 x 第二彈！】耐用可機洗 典雅奢華的頂級天然素材,Single Step,2311640,3980,https://www.zeczec.com/projects/Oltas-Japan,"台日超過萬人好評贊助！日本愛知縣OLTAS紡織工藝，將珍貴的喀什米爾高山羊絨，製作可機洗不變型，越使用越蓬鬆，輕量且不厚重的溫暖圍脖。冬日最值得擁有的溫暖職人逸品。❄️ 現在下訂農曆年前出貨！,zeczec",9 天,2022/11/30 12:00 – 2023/01/03 23:59,2022-11-30 12:00:00,2023-01-03 23:59:00,
【Dibea X9 濕拖無線吸塵器】吸地 ‧ 除蟎 ‧ 濕拖 ‧ 拋光 ４合１｜旗艦高規格 ✦ 清潔神管家｜A-BUBU 阿噗噗國際,阿噗噗國際有限公司,1814180,7999,https://www.zeczec.com/projects/dibea-x9,"以最划算的價格，打造最高品質與功能的打掃工具，減輕使用者各方面的負擔，讓這台【X9 濕拖吸塵器】成為各家中最給力的清潔神管家。,zeczec",5 天,2022/12/01 12:00 – 2022/12/31 02:00,2022-12-01 12:00:00,2022-12-31 02:00:00,
HOMI｜地表最強遠紅外線日常&防水機能連帽外套 TheHood & TheHood Pro,HOMI CREATIONS 合覓創造,1748454,5560,https://www.zeczec.com/projects/homi-thehood-thehood-pro,"MIT 第一件完整導水設計的連帽防水外套，防水不僅是布料規格，導水及流向更是關鍵！ 日常的連帽外套，更應該有貼近現代的收納及外型設計！,zeczec",37 天,2022/12/13 20:00 – 2023/02/01 02:00,2022-12-13 20:00:00,2023-02-01 02:00:00,
CheerTok超能控臺灣限定版「全能智慧口袋迷你觸控板」全球熱賣千萬｜專為現代人設計，輕鬆掌控所有3C產品,Cheertok TW,1621873,1660,https://www.zeczec.com/projects/cheertoktw,"2022榮獲紅點設計，符合人體工學「CheerTok 超能控」，無論您是在創作者、辦公室工作、演講還是在沙發上享受娛樂，輕巧簡單都能讓你輕鬆掌控所有3C設備。,zeczec",21 天,2022/11/28 20:00 – 2023/01/15 23:59,2022-11-28 20:00:00,2023-01-15 23:59:00,
媽媽友MAMAYO黏土｜不會乾、重複玩的台灣製黏土，安心完美黏土提案：CP最高、玩法最多、清潔最易！,媽媽友mamayo,1349543,1599,https://www.zeczec.com/projects/mamayo-clay,"革命性專利技術，打造最適合孩子的三款特殊材質黏土，建構孩子想像、益智學習、感官探索體驗，解決了目前市售黏土的所有痛點，堪稱黏土界的最強王者！,zeczec",19 天,2022/11/28 12:00 – 2023/01/13 23:59,2022-11-28 12:00:00,2023-01-13 23:59:00,
美國 OASIS 濾淨飲水機｜1 秒瞬熱 X 急速製冷 X UVC 抑菌，每刻都能享受純淨好水！,OASIS ,1298320,9390,https://www.zeczec.com/projects/oasis-curve,"美國百年飲水機領導品牌，滿足安心生飲等級！半導體急速製冷 X 1 秒瞬熱，冰熱飲一鍵智控隨時即飲！過流式 5 層過濾淨化濾芯與 UVC 抑菌，讓每杯都是純淨新鮮水。,zeczec",12 天,2022/12/08 12:00 – 2023/01/06 23:59,2022-12-08 12:00:00,2023-01-06 23:59:00,
量身打造專屬你的衣帽包架｜走走家具解決棘手收納困擾，改善易亂體質！,走走家具 GOGO Furniture,1273000,25500,https://www.zeczec.com/projects/cloth-rack,"容量精巧收納剛剛好，不讓衣帽架成為家中混亂的角落，妥善收納日常用品，打造清爽整齊的衣帽包空間，多種擴充配件可選擇，配出你的專屬衣帽架,zeczec",39 天,2022/12/05 21:00 – 2023/02/02 23:59,2022-12-05 21:00:00,2023-02-02 23:59:00,
【半導體金屬鍍膜升溫防水外套 】戶外機能走入城市：銅鈦金屬極速升溫、長效抗菌｜2 IN 1 設計，實現全場域穿搭自由！,HUNDR.,1264800,7590,https://www.zeczec.com/projects/wave-breaker-3l-jacket,"HUNDR. 秉持對簡約設計及布料科技的堅持，利用獨家半導體金屬鍍膜技術聯手台灣品牌oqLiq合作設計，打造出穿梭在城市間的The Wave Breaker 3L Jacket。 ,zeczec",22 天,2022/12/01 12:00 – 2023/01/16 23:59,2022-12-01 12:00:00,2023-01-16 23:59:00,
熟成清水模落地音響，聲來有型｜台灣手工、藍牙、五單體、獨立可調重低音,二十二設計有限公司,1147400,18800,https://www.zeczec.com/projects/bt3concretespeaker,"22STUDIO 與台灣音響品牌 minfort 合作推出「熟成清水模落地音響」，期望結合「豐富細膩的音質感受」、「現代極簡的造型設計」與「高超的原材料工藝」讓你的生活更美好。,zeczec",33 天,2022/12/06 12:00 – 2023/01/27 23:59,2022-12-06 12:00:00,2023-01-27 23:59:00,
【Jolly兔年成家方案】嬰幼兒防嗆澡盆新亮相，底部特殊止滑設計，解放父母雙手 !,Jolly Factory,1064500,9900,https://www.zeczec.com/projects/jolly_rabbitbaby,"為慶祝澡盆新品上市，結合自動收折推車、成長型汽座、百寶袋揹巾，推出超值組合優惠~!! 通通帶回家，萬元有找~!,zeczec",6 天,2022/11/30 12:00 – 2022/12/31 23:59,2022-11-30 12:00:00,2022-12-31 23:59:00,
【VRTX】王者套件．超過200件訓練動作零侷限，採用獨家專利編織材質，安全耐拉扯、質感收納兼具的居家訓練組,VRTX,1003729,6499,https://www.zeczec.com/projects/vrtx-the-king-of-home-training,"來自美國的VRTX這次把最頂尖的居家訓練體驗帶來台灣了！扣環與各式套件的切換，只要一個背包大小的收納空間，就能讓你在家體驗超過200種以上訓練變化🔥,zeczec",5 天,2022/12/05 20:00 – 2022/12/30 23:59,2022-12-05 20:00:00,2022-12-30 23:59:00,
【 Airmate｜智慧WIFI石墨烯電暖器 】智慧恆溫Ｘ遠端遙控，石墨烯傳導黑科技，極速打造溫暖空間！,Airmate艾美特,961660,4780,https://www.zeczec.com/projects/airmate-wifi,"Airmate艾美特 - 精緻生活小家電的台灣第一品牌 專注於與空氣改良有關的家用電器產品，「為人類創造優質生活」提供消費者更優質的產品。,zeczec",17 天,2022/12/07 12:00 – 2023/01/12 02:00,2022-12-07 12:00:00,2023-01-12 02:00:00,
 POWER GUARD 嗶嗶好朋友｜電流偵測 雙重用電把關！是您居家用電的好麻吉,Elevon,925715,690,https://www.zeczec.com/projects/elevonBBMATCH,"POWER GUARD 最新力作！一款更貼近生活的居家防護好朋友。從源頭把關用電安全的轉接器。具備用電流偵測功能，4段燈號電量提示，用電過載主動「嗶嗶」警示。,zeczec",52 天,2022/12/08 21:00 – 2023/02/16 02:00,2022-12-08 21:00:00,2023-02-16 02:00:00,
Haier海爾．雙動力智慧洗地機 ▋▋一推即淨，真有兩把刷子！,Haier Smart Home｜海爾台灣 智慧家電,885137,16999,https://www.zeczec.com/projects/haier-X9,"Haier海爾．雙動力智慧洗地機～真有兩把刷子！雙刷吸拖洗一推就乾淨，雙動力強勁高效率，雙通道乾濕分離清潔好得力～還能自製電解水，洗滾刷、洗管道一鍵就搞定！,zeczec",6 天,2022/11/30 12:00 – 2022/12/31 23:59,2022-11-30 12:00:00,2022-12-31 23:59:00,
【神隊源-22W多合一快充行動電源】集「充電頭、蘋果線、安卓線、無線充電盤、磁吸充、雙支架」於一身！,POLYBATT,834968,1368,https://www.zeczec.com/projects/POLYBATT_SUPER7,"符合全球電壓 100-240V！支援各項快充協議，可多設備同時輸出、邊充邊放，22W有線+15W無線，ㄧ機在手遨遊四海～,zeczec",42 天,2022/12/08 12:00 – 2023/02/06 09:00,2022-12-08 12:00:00,2023-02-06 09:00:00,
Poketto | 全型口袋包,greenroom,798310,1380,https://www.zeczec.com/projects/poketto,"4 種背法的多功能小包，容量可切換，立體大空間網袋，可單背或升級裝備。,zeczec",21 天,2022/12/15 12:00 – 2023/01/15 23:59,2022-12-15 12:00:00,2023-01-15 23:59:00,
iMAT 翻轉切割墊 2.0｜大面積使用、輕鬆摺疊好攜帶，全新吸磁、收納功能，便利再升級！,iMAT,686222,1496,https://www.zeczec.com/projects/imat-2,"延續『大面積使用，小面積攜帶』形式， 搭配強力磁鐵使用的『吸磁版』／夾持 新型專利-微笑U型夾的『收納版』， 絕對顛覆您對切割墊創新的想像！,zeczec",3 天,2022/11/30 21:00 – 2022/12/28 23:59,2022-11-30 21:00:00,2022-12-28 23:59:00,
《瞎掰王》幹話到翻白眼，笑到肚子痛的白爛歡樂桌遊,狗吠火車娛樂設計,672531,990,https://www.zeczec.com/projects/TW-9upper,"你夠會瞎掰嗎？人生最重要技能「講幹話」你行嗎？快讓你朋友都笑到翻你白眼吧！,zeczec",16 天,2022/11/30 20:30 – 2023/01/10 23:59,2022-11-30 20:30:00,2023-01-10 23:59:00,
【樹懶架】多功能懶到底手機平板支架│ 穩穩地支撐你的懶散 坐著、躺著、趴著， 隨處都可立,暮光設計,643220,1940,https://www.zeczec.com/projects/shu-lan-jia,"發懶無罪，耍廢當道！不管你要坐著、躺著、甚至趴著看手機，樹懶架都可以好好撐住你。 五段式高度、360度角度調整，正的、反的，你的各種耍廢姿勢，它都可以支撐，解放雙手，一起懶得理直氣壯！,zeczec",37 天,2022/11/28 21:00 – 2023/01/31 23:59,2022-11-28 21:00:00,2023-01-31 23:59:00,
Cache 2.0 快取感應立夾｜俐落感應卡夾 x 最美手機支架,ZENLET 禪與徠特,616333,790,https://www.zeczec.com/projects/zenlet-cache2,"MagSafe 錢包就是手機支架！可容納 1+2 張卡片，支援直接感應與快速取卡，零多餘結構，成就兼具極簡與功能的隨身配件。,zeczec",10 天,2022/11/29 12:00 – 2023/01/05 02:00,2022-11-29 12:00:00,2023-01-05 02:00:00,
ARpedia 兒童互動英文繪本｜將「學習」與「娛樂」融合， 一步一步啟發孩子的語言思考能力。,AR PEDIA,535450,3800,https://www.zeczec.com/projects/arpedia,"「Into the Curiosity Q」為包含10種不同主題的AR兒童英文繪本，搭配長頸鹿SPOTTY 讓圖書中的角色們活起來，還有多種卡牌提供不同互動模式，從此學英文變成最期待的時刻！,zeczec",15 天,2022/12/07 20:00 – 2023/01/09 23:59,2022-12-07 20:00:00,2023-01-09 23:59:00,
【 bitplay 全天候防水輕量風雨衣 】都會風格的超機能防風雨外套,bitplay,535350,4690,https://www.zeczec.com/projects/bitplay_wandercoat,"專門為台灣潮濕黏膩的氣候設計，專業戶外等級全防水 x 都會經典風衣版型 x 最新專利機能布料，快速收納攜帶，適應天氣變化、百搭不同身型的防風雨大衣。,zeczec",18 天,2022/12/12 12:00 – 2023/01/12 23:59,2022-12-12 12:00:00,2023-01-12 23:59:00,
愛的四十八手！臉紅體位床遊——第一套藝術精品級情慾牌卡,臉紅紅,532719,1469,https://www.zeczec.com/projects/lhh48cards,"愛的 48 手，屬於你的體位床遊，這一次讓我們為了愉悅、為了美、為了享受而做，由你主動，做你想做。產品包含 48 張絕美體位牌卡＋一本指引圖鑑＋眼罩綁手絲滑兩用巾，按圖索驥，探索你的愉悅招式。,zeczec",41 天,2022/12/08 21:00 – 2023/02/04 23:59,2022-12-08 21:00:00,2023-02-04 23:59:00,
【LC全自動兒童馬桶】寶寶輕鬆戒尿布 | 一鍵打包自動換袋 |人體偵測會自動翻蓋| 適合0-6歲兒童使用 👍👍👍,LC全自動兒童馬桶-穩學科技,518310,3800,https://www.zeczec.com/projects/lctoilet,"台灣總代理合作研發，2023全自動兒童馬桶，搶先超早鳥上市!!,zeczec",40 天,2022/11/30 20:00 – 2023/02/03 23:59,2022-11-30 20:00:00,2023-02-03 23:59:00,
