【 sodastream｜DUO 氣泡水機 】2022 年全球獨家專利設計，快扣鋼瓶機種。享 2 年保固，免插電、一鍵輕鬆享用！,sodastream,0,5590,https://www.zeczec.com/projects/sodastream-duo,"質感旗艦新機，榮獲德國紅點設計獎以及 Good Design，輕鬆享用完美比例氣泡水！專用水瓶可放入洗碗機清洗，清潔又方便！,zeczec",13 天,2022/04/07 12:00 – 2022/04/20 23:59,2022/04/07 12:00:00,2022/04/20 23:59:00
SGS PRO 智慧迷你雕刻拋光筆｜無線便攜，雕刻、打磨、拋光的最佳助手！,Arrowmax Taiwan,4560,2280,https://www.zeczec.com/projects/sgs-pro-smart-mini-electric-engraving-polishing-pen,"Arrowmax 便攜式智能工具套組 系列中的第三款『SGS PRO』 - 作為一個小型無線智能工具 讓你在任何時候都能隨意雕刻、研磨、打磨和拋光任何物件。,zeczec",54 天,2022/04/07 12:00 – 2022/05/31 23:59,2022/04/07 12:00:00,2022/05/31 23:59:00
MUFU V30P 好神機｜前後雙錄機車行車記錄器｜內建違規偵測語音播報提醒功能幫你『省荷包』,MUFU,153175,3590,https://www.zeczec.com/projects/mufu-v30p,"MUFU機車行車記錄器安裝使用很簡單，前後雙錄記錄影像，獨創違規點偵測語音播報，為國民省荷包，機車族必備好神機,zeczec",30 天,2022/04/07 11:00 – 2022/05/07 02:00,2022/04/07 11:00:00,2022/05/07 02:00:00
無線接收擴音喇叭,寬升科技,0,42500,https://www.zeczec.com/projects/WA1,"便利與機動性，配合多變的應用情境最符合斜槓世代的不同使用需求，可適用於商務展演亦可居家休閒，感受當下最真實的聲音。,zeczec",49 天,2022/04/07 09:00 – 2022/05/26 23:59,2022/04/07 09:00:00,2022/05/26 23:59:00
Go.Do.Be.Live! | 九型探索 Discover You Type | 九種原型人格探索指南 by Annie Ivanova,Studio Ivanova,11001,849,https://www.zeczec.com/projects/discover-your-type,"這副牌卡將協助你透過九型人格類型了解自己與他人，適用於個人發展、團隊建立、化解衝突，並且與家人和朋友分享。,zeczec",54 天,2022/04/06 21:00 – 2022/05/31 23:59,2022/04/06 21:00:00,2022/05/31 23:59:00
Roidmi 睿米 X300 無線吸拖吸塵器 | 業界頂級超強吸力、1 鍵自動清潔拖布、90 分鐘超長續航電力,Roidmi Taiwan 睿米,274260,19980,https://www.zeczec.com/projects/roidmi-x300,"市場上唯一擁有27000 pa業界頂級超強吸力、90分鐘超長效電池、1鍵自動清洗拖布的最全能無線濕拖吸塵器,zeczec",40 天,2022/04/06 21:00 – 2022/05/17 23:59,2022/04/06 21:00:00,2022/05/17 23:59:00
《 247 Catcher 》｜ 最全面的【抓寶 & 打團】輔助道具,PhotoFast,723710,1990,https://www.zeczec.com/projects/PF-247catcher,"大家好！我們是 PhotoFast 銀箭資訊。今年，我們創造出了一款能符合 Pokemon GO 玩家需求的抓寶利器！不只能突破現有的連線一小時限制，更讓您能夠在打團戰或攻道館時輕鬆應戰！,zeczec",29 天,2022/04/06 20:00 – 2022/05/06 02:00,2022/04/06 20:00:00,2022/05/06 02:00:00
expertgel樂捷│超薄型！極致吸濕【消臭鞋墊】│奈米礦物機能紗的科學消臭原理│比硅藻土吸濕,愛倍多國際股份有限公司,12005,348,https://www.zeczec.com/projects/expertgel_Ultra-slim_Extremely_Hygroscopic_Deodorizing_Insole,"超薄無感『僅1.2mm』│多方驗證『抗菌消臭』│調節溫度『冬暖夏涼』│遠紅外線『促進循環』│超透結構『乾爽舒適』│奈米導體『吸收熱氣』│微孔科技『快速吸濕導流多餘水份』,zeczec",30 天,2022/04/06 20:00 – 2022/05/08 00:00,2022/04/06 20:00:00,2022/05/08 00:00:00
【 OTUS 奧特視｜視力訓練智慧眼鏡 2 】眼部訓練全新升級，智慧管理輕鬆保持好視力。,OTUS Taiwan,494100,10980,https://www.zeczec.com/projects/otus-2,"眼部訓練全新升級，智慧管理輕鬆保持好視力。你全家的視力，繼續由奧特視來守護。一代近800名贊助者使用肯定，團隊聽取使用意見再度改進； 美國藍圖療法加持，AI 智慧分析改進， 更好用的 APP 設...,zeczec",34 天,2022/04/06 12:00 – 2022/05/11 02:00,2022/04/06 12:00:00,2022/05/11 02:00:00
【HANLIN-RK2 超薄雙模式聲控錄音卡】 16G超長192小時錄音/輕薄收納/隱匿無形/聲控錄音/數位降噪/ 斷電保存 ,漢電科技生活,154751,2088,https://www.zeczec.com/projects/hanlin-rk2-16g-192,"超薄4mm輕巧錄音卡/ 小身材 /大容量/ 超長16G-192小時錄音 ！,zeczec",39 天,2022/04/06 12:00 – 2022/05/16 23:59,2022/04/06 12:00:00,2022/05/16 23:59:00
【燕麥麵包技術手冊】出版計劃,蔡志祥,19280,320,https://www.zeczec.com/projects/oatBakingSkill,"用「科學」計算出來的燕麥麵包配方，以新創的「分水攪拌法」突破製作瓶頸，來自麵包工程師 10 年經驗累積，幫你點破製作燕麥麵包的竅門。,zeczec",44 天,2022/04/06 12:00 – 2022/05/21 01:59,2022/04/06 12:00:00,2022/05/21 01:59:00
日本專利製造┃雙面立體突起刺激穴道的腳底按摩襪，讓您只要走路就可以促進身體血液循環，跟畏寒說掰掰！,Fabridge,39350,5000,https://www.zeczec.com/projects/Toe-Socks,"襪子外側印有足部穴位圖！內側多達600多個立體突起墊刺激整個腳底！每天穿每天都能舒適的透過腳底刺激來釋放全身的壓力～,zeczec",54 天,2022/04/06 12:00 – 2022/05/31 23:59,2022/04/06 12:00:00,2022/05/31 23:59:00
 MerryIoT 氦幣挖礦機 Helium Hotspot Miner V1 熱點 優選台灣品牌終於開賣!讓各位久等了,EZcomm,32080,14090,https://www.zeczec.com/projects/merryiot-helium-hotspot-miner-v1,"台灣公司出品的Helium 熱點礦機,zeczec",23 天,2022/04/02 10:00 – 2022/04/30 23:59,2022/04/02 10:00:00,2022/04/30 23:59:00
PYUALAB璞室 | 日本專利抗菌技術【淨立方抗菌石】抗菌0危險、不傷身,璞室,9495,1799,https://www.zeczec.com/projects/pyualab-clearcub,"疫情肆虐導致消毒需求大增，但在使用酒精、次氯酸水等消毒水的同時也會帶來一些危害。因此璞室接觸到這款更安全且不傷身的抗菌水之後，希望可以帶來這個全新的抑菌概念，讓大家可以更輕鬆的應對後疫情生活!,zeczec",38 天,2022/04/01 14:00 – 2022/05/15 23:59,2022/04/01 14:00:00,2022/05/15 23:59:00
夢遊的人Dennis in Wonderland - Live session,有享娛樂,174122,500,https://www.zeczec.com/projects/Dennis_in_Wonderland,"由金馬影帝莫子儀、金曲作曲黃裕翔、非典型音樂製作人日京江羽人共同跨域創作，最跳躍邏輯的夢境之旅。,zeczec",54 天,2022/04/01 12:20 – 2022/05/31 23:59,2022/04/01 12:20:00,2022/05/31 23:59:00
FXMOC交易員培訓計畫,李芸萱,60000,30000,https://www.zeczec.com/projects/fxmoc,"最完整最親民的投資交易課程，一條龍的專職職涯培訓,zeczec",24 天,2022/04/01 12:00 – 2022/05/01 12:00,2022/04/01 12:00:00,2022/05/01 12:00:00
今天開始背包不落地，防疫好安逸! 日本人氣熱銷，多功能『Smart Hook包袋隨身掛勾』,Neo Choice ,395035,398,https://www.zeczec.com/projects/smart-hook,"外出或旅旅中不再擔心背包要放在哪裡了！ 隨時保持背包行李的清潔！ 手機支架/包袋掛勾/鑰匙圈/登山扣 多個願望一次滿足!,zeczec",54 天,2022/03/31 21:00 – 2022/05/31 21:00,2022/03/31 21:00:00,2022/05/31 21:00:00
